Sim	log_M_12	log_M_21	log_N1	log_N2	no_loci	theta	fraction_N1	fraction_N2	M_12	M_21	tW.pop1	tP.pop1	Tajima.pop1	tW.pop2	tP.pop2	Tajima.pop2	singletons.pop1	doubletons.pop1	singletons.pop2	doubletons.pop2	pop1.pop2.fst
1	-3.68615	3.11668	5.30922	6.79453	1	1	20.381	623.065	0.000205991	1308.22	9.90757	8.92993	-0.194199	11.4948	8.13104	-0.677323	25.0716	7.92123	39.4847	10.973	-0.027142
2	-0.371644	-3.1573	4.6617	5.39202	1	1	4.58885	24.6614	0.424968	0.00069614	13.3423	17.4231	0.606742	18.4423	17.1546	-0.162999	12.3687	19.2292	38.282	22.264	0.115236
3	1.32164	-2.93856	6.79258	2.6745	1	1	620.276	0.0472609	20.972	0.00115197	0.280726	0.087359	-0.769993	0.16557	0.204546	0.270278	2.09662	0	0	0	0.134736
4	-0.466546	-3.77025	2.20428	3.76774	1	1	0.0160059	0.585789	0.34155	0.000169725	0	0	0	0.166595	0.0838495	-0.571614	0	0	0	0	0.99532
5	0.499359	-1.68256	6.92655	3.12962	1	1	844.404	0.134779	3.15761	0.0207702	1.20172	0.373964	-1.12829	0	0	0	8.97515	0	0	0	0
6	0.314549	-1.35875	4.83525	5.16909	1	1	6.84306	14.76	2.06324	0.0437772	9.04817	7.33334	-0.371908	7.18555	6.55429	-0.200664	26.7145	9.22293	23.0215	3.34522	0.080108
7	-1.86403	-3.03414	6.37583	3.35578	1	1	237.593	0.22687	0.0136763	0.000924397	103.3	95.9848	-0.143396	0	0	0	200.854	176.557	0	0	0.618213
8	1.26491	1.49921	4.76361	6.58783	1	1	5.80237	387.108	18.404	31.5652	5.08344	6.23162	0.432137	6.1995	5.32128	-0.321788	4.04178	1.93803	11.4958	16.6629	-0.025529
9	2.70236	1.19718	3.27581	4.71498	1	1	0.188714	5.18773	503.917	15.7463	4.49348	5.89274	0.59142	4.6906	5.76207	0.512347	3.5524	0.983024	8.33	0	-0.025407
10	-2.67725	1.90753	4.73319	3.18017	1	1	5.40985	0.151416	0.00210256	80.8226	2.45842	2.21053	-0.182256	1.51542	1.6639	0.199287	7.34799	0.992527	4.15279	0	0.044868
11	-2.19117	-3.46147	6.58808	2.52446	1	1	387.329	0.0334547	0.00643913	0.000345564	263.268	291.718	0.219229	0	0	0	472.744	198.667	0	0	0.674353
12	-3.78439	1.51134	4.70121	2.19176	1	1	5.02584	0.0155509	0.00016429	32.459	3.11205	2.79681	-0.187234	0.827848	1.30727	1.0674	6.70036	5.47698	0	0	0.149071
13	1.23851	-3.82004	4.03098	6.43223	1	1	1.07395	270.542	17.3184	0.000151343	116.718	167.065	0.873768	132.255	136.31	0.0724535	90.033	22.9873	191.244	128.759	0.080588
14	0.0999782	3.07499	3.19884	5.56945	1	1	0.158066	37.1066	1.25886	1188.47	0	0	0	0	0	0	0	0	0	0	nan
15	0.483672	-2.28782	5.7352	6.39813	1	1	54.3502	250.107	3.04559	0.0051544	133.04	121.717	-0.172462	164.929	170.731	0.0831655	405.961	84.4388	208.943	300.579	0.031556
16	-2.76831	-1.71353	6.49071	3.73477	1	1	309.536	0.54296	0.00170488	0.0193404	170.676	186.183	0.184193	98.3281	89.9848	-0.2004	368.972	69.7585	1.71539	289.163	0.322245
17	-0.992868	-3.21558	3.19856	2.61185	1	1	0.157963	0.0409117	0.101656	0.000608723	0.133975	0.0797585	-0.340643	0	0	0	0	1.00061	0	0	0.995331
18	-3.90513	-1.34011	2.36965	3.286	1	1	0.0234233	0.193196	0.000124414	0.0456975	0	0	0	0.171308	0.0862215	-0.577717	0	0	0	0	0.996673
19	2.92026	-2.07541	4.42564	4.03156	1	1	2.66467	1.07537	832.254	0.00840595	0.272886	0.302311	0.119346	0.496761	0.599075	0.33782	1.03808	0	0	0.99008	0.026427
20	-1.12422	-2.93494	2.43502	2.78774	1	1	0.027228	0.0613393	0.075125	0.0011616	0	0	0	5e-07	0	-0.000836	0	0	2e-06	0	1
21	3.55243	2.6099	4.17497	3.30949	1	1	1.49612	0.203933	3568.04	407.283	0.13391	0.114144	-0.124225	0.399325	0.270671	-0.497781	0	0	1.38977	1.02206	0.014923
22	-0.674247	0.742068	3.83706	6.30776	1	1	0.687163	203.121	0.211716	5.52164	0.309291	0.129418	-0.672102	1.20427	0.785192	-0.685005	1.43806	0.871906	5.425	0.848515	0.062975
23	2.70949	-3.03146	2.99814	6.21405	1	1	0.0995719	163.702	512.258	0.000930116	87.6017	80.0115	-0.175346	115.94	128.669	0.259407	240.514	41.3062	207.857	111.857	0.094276
24	-3.06442	-3.05257	6.07255	3.92695	1	1	118.181	0.845182	0.000862148	0.000885996	37.6829	33.1165	-0.244055	1.33441	1.49838	0.245611	43.9699	124.327	2.23695	0.816932	0.980036
25	-1.81256	-3.91715	6.33536	5.31361	1	1	216.451	20.5879	0.0153973	0.000121018	92.0036	99.2274	0.158925	6.41839	4.94751	-0.521278	156.536	74.5621	19.6715	9.99998	0.313126
26	-1.12872	-0.824371	2.51526	5.14984	1	1	0.0327538	14.1202	0.0743491	0.14984	0	0	0	5.4851	5.65658	0.0706505	0	0	11.1653	2.06928	0.192407
27	1.5733	3.61895	4.04949	3.29194	1	1	1.1207	0.195858	37.4369	4158.64	0.975411	1.32709	0.567993	1.18527	1.34849	0.270382	1.28492	0	1.13578	1.0163	-0.049784
28	0.418073	0.565188	2.21777	6.47715	1	1	0.0165108	300.02	2.61862	3.67441	0.273637	0.0851535	-0.763133	0.680689	0.463812	-0.56372	1.04368	0	3.1112	0	0.031334
29	2.71229	-1.19238	2.55795	4.32856	1	1	0.0361368	2.1309	515.568	0.0642121	0	0	0	0	0	0	0	0	0	0	nan
30	-3.46547	-2.23551	6.19665	3.38457	1	1	157.272	0.242423	0.000342399	0.00581419	55.6367	40.3481	-0.554948	0	0	0	259.858	44.0922	0	0	0.634225
31	0.908184	-1.32689	6.34364	6.95826	1	1	220.618	908.361	8.09439	0.0471099	497.93	609.155	0.453425	661.347	715.444	0.193637	687.277	391.42	1196.56	1007.36	-0.003177
32	-1.20742	-2.8069	2.52029	5.70918	1	1	0.0331355	51.19	0.0620265	0.00155991	0	0	0	45.6578	34.7487	-0.562531	0	0	134.952	7.52572	0.401641
33	-2.57636	1.71861	6.38486	6.60192	1	1	242.582	399.874	0.00265241	52.3136	135.25	134.775	-0.00712	141.887	127.141	-0.245663	268.034	79.8333	319.408	222.032	-0.037977
34	1.37877	-1.12958	2.24835	6.56209	1	1	0.0177155	364.833	23.9206	0.0742028	0	0	0	153.673	137.246	-0.252716	0	0	548.114	27.7811	0.476583
35	3.92206	-0.343702	2.18435	2.79236	1	1	0.0152881	0.0619955	8357.19	0.453208	0	0	0	0	0	0	0	0	0	0	nan
36	-0.758031	-3.6708	2.43856	4.95701	1	1	0.0274512	9.05752	0.17457	0.000213401	0	0	0	6.66783	8.74021	0.707997	0	0	9.25464	2.00151	0.471334
37	-0.100225	2.4049	3.91859	2.80027	1	1	0.829065	0.0631356	0.793916	254.04	0.557916	0.782314	0.556117	1.00242	1.08472	0.156797	1.16685	0	1.54506	1.50925	-0.03431
